"Year","Quarter","Origin","Commodity","Tons"
2013,4,"CANADA","Strawberries",0.1275
2013,4,"FLORIDA","Strawberries",15548.722
2013,4,"MEXICO-ARIZONA","Strawberries",670.708
2013,4,"MEXICO-CALIFORNIA","Strawberries",1463.232
2013,4,"MEXICO-TEXAS","Strawberries",18345.513
2013,4,"MEXICO-TOTAL","Strawberries",20479.453
2014,1,"CALIFORNIA","Strawberries",120378.228
2014,1,"CANADA","Strawberries",21.6575
2014,1,"FLORIDA","Strawberries",76547.758
2014,1,"MEXICO-ARIZONA","Strawberries",1614.667
2014,1,"MEXICO-CALIFORNIA","Strawberries",32606.268
2014,1,"MEXICO-TEXAS","Strawberries",37114.787
2014,1,"MEXICO-TOTAL","Strawberries",71335.722
2014,2,"CALIFORNIA","Strawberries",353711.614
2014,2,"FLORIDA","Strawberries",259.38
2014,2,"MEXICO-CALIFORNIA","Strawberries",8053.975
2014,2,"MEXICO-TEXAS","Strawberries",382.4545
2014,2,"MEXICO-TOTAL","Strawberries",8436.4295
2014,2,"SOUTHEAST","Strawberries",1346.02
2014,3,"CALIFORNIA","Strawberries",228473.006
2014,4,"CALIFORNIA","Strawberries",74242.6679999999
2014,4,"CANADA","Strawberries",0.12
2014,4,"FLORIDA","Strawberries",16539.956
2014,4,"MEXICO-CALIFORNIA","Strawberries",2482.2675
2014,4,"MEXICO-TEXAS","Strawberries",21710.4525
2014,4,"MEXICO-TOTAL","Strawberries",24192.72
2015,1,"CALIFORNIA","Strawberries",138522.248
2015,1,"FLORIDA","Strawberries",98314.56
2015,1,"MEXICO-CALIFORNIA","Strawberries",14214.5795
2015,1,"MEXICO-TEXAS","Strawberries",44993.9865
2015,1,"MEXICO-TOTAL","Strawberries",59208.566
2015,2,"CALIFORNIA","Strawberries",344552.704
2015,2,"MEXICO-CALIFORNIA","Strawberries",2700.2385
2015,2,"MEXICO-TEXAS","Strawberries",1231.037
2015,2,"MEXICO-TOTAL","Strawberries",3931.2755
2015,2,"SOUTHEAST","Strawberries",1184.912
2015,3,"CALIFORNIA","Strawberries",219683.616
2015,3,"CANADA","Strawberries",10.6625
2015,4,"CALIFORNIA","Strawberries",57912.512
2015,4,"FLORIDA","Strawberries",17809.656
2015,4,"MEXICO-CALIFORNIA","Strawberries",1092.4195
2015,4,"MEXICO-TEXAS","Strawberries",22989.6805
2015,4,"MEXICO-TOTAL","Strawberries",24082.1
2016,1,"CALIFORNIA","Strawberries",79002.368
2016,1,"CANADA","Strawberries",0.0155
2016,1,"FLORIDA","Strawberries",85473.26
2016,1,"MEXICO-CALIFORNIA","Strawberries",14579.378
2016,1,"MEXICO-TEXAS","Strawberries",51325.1735
2016,1,"MEXICO-TOTAL","Strawberries",65904.5515
2016,2,"CALIFORNIA","Strawberries",340206.736
2016,2,"CANADA","Strawberries",0.177
2016,2,"FLORIDA","Strawberries",85.38
2016,2,"MEXICO-CALIFORNIA","Strawberries",4945.0895
2016,2,"MEXICO-TEXAS","Strawberries",427.367
2016,2,"MEXICO-TOTAL","Strawberries",5372.4565
2016,2,"SOUTHEAST","Strawberries",1738.402
2016,3,"CALIFORNIA","Strawberries",281905.932
2016,3,"CANADA","Strawberries",0.0725
2016,3,"MEXICO-TEXAS","Strawberries",0
2016,3,"MEXICO-TOTAL","Strawberries",0
2016,4,"CALIFORNIA","Strawberries",86198.9039999999
2016,4,"CANADA","Strawberries",0.649
2016,4,"FLORIDA","Strawberries",24398.748
2016,4,"MEXICO-CALIFORNIA","Strawberries",1943.9415
2016,4,"MEXICO-TEXAS","Strawberries",31379.0505
