Year,Quarter,Origin,Commodity,Tons
2000,1,MEXICO-ARIZONA,Oregano,0.8095
2000,1,MEXICO-ARIZONA,Olives,0.7325
2000,1,MEXICO-ARIZONA,Sage,0.725
2000,1,MEXICO-ARIZONA,Basil,0.6755
2000,1,MEXICO-ARIZONA,Thyme,0.5365
2000,1,MEXICO-ARIZONA,Ginger Root,0.2375
2000,1,MEXICO-ARIZONA,Marjoram,0.1175
2000,1,MEXICO-CALIFORNIA,ORIGIN TOTAL,178774.507
2000,1,MEXICO-CALIFORNIA,"Onions, Green",23076.4495
2000,1,MEXICO-CALIFORNIA,Asparagus,17871.9975
2000,1,MEXICO-CALIFORNIA,Strawberries,14524.44
2000,1,MEXICO-CALIFORNIA,"Peppers, Other",12106.3965
2000,1,MEXICO-CALIFORNIA,Miscellaneous Tropical Vegetables,11908.2695
2000,1,MEXICO-CALIFORNIA,Papaya,10194.8085
2000,1,MEXICO-CALIFORNIA,Celery,10136.0575
2000,1,MEXICO-CALIFORNIA,Tomatoes,8764.3645
2000,1,MEXICO-CALIFORNIA,Cucumbers,6706.2655
2000,1,MEXICO-CALIFORNIA,Radishes,6641.73
2000,1,MEXICO-CALIFORNIA,Brussels Sprouts,4798.3225
2000,1,MEXICO-CALIFORNIA,Bananas,3064.6545
2000,1,MEXICO-CALIFORNIA,Tomatillos,2769.945
2000,1,MEXICO-CALIFORNIA,Jicama,2751.8595
2000,1,MEXICO-CALIFORNIA,Squash,2587.281
2000,1,MEXICO-CALIFORNIA,Leeks,2185.5165
2000,1,MEXICO-CALIFORNIA,"Greens, Kale",2169.497
2000,1,MEXICO-CALIFORNIA,Cabbage,2033.9875
2000,1,MEXICO-CALIFORNIA,"Tomatoes, Plum Type",1900.292
2000,1,MEXICO-CALIFORNIA,Miscellaneous Herbs,1885.6265
2000,1,MEXICO-CALIFORNIA,Vegetables Other,1820.907
2000,1,MEXICO-CALIFORNIA,Carrots,1748.2815
2000,1,MEXICO-CALIFORNIA,Spinach,1700.833
2000,1,MEXICO-CALIFORNIA,"Peas, Green",1614.85
2000,1,MEXICO-CALIFORNIA,Cilantro,1548.366
2000,1,MEXICO-CALIFORNIA,Limes,1480.3425
2000,1,MEXICO-CALIFORNIA,Beans,1473.372
2000,1,MEXICO-CALIFORNIA,Cactus Leaf (Nopales),1403.1925
2000,1,MEXICO-CALIFORNIA,Parsley,1390.748
2000,1,MEXICO-CALIFORNIA,Broccoli,1380.6355
2000,1,MEXICO-CALIFORNIA,"Peppers, Bell Type",1353.3475
2000,1,MEXICO-CALIFORNIA,Cantaloupes,1088.0735
2000,1,MEXICO-CALIFORNIA,"Tomatoes, Cherry",1076.092
2000,1,MEXICO-CALIFORNIA,Beets,1033.6575
2000,1,MEXICO-CALIFORNIA,"Lettuce, Iceberg",1027.635
2000,1,MEXICO-CALIFORNIA,Pineapples,959.9185
2000,1,MEXICO-CALIFORNIA,"Lettuce, Romaine",816.5975
2000,1,MEXICO-CALIFORNIA,Cauliflower,784.639
2000,1,MEXICO-CALIFORNIA,Watermelons,756.9735
2000,1,MEXICO-CALIFORNIA,Chayote,730.8745
2000,1,MEXICO-CALIFORNIA,Artichokes,702.595
2000,1,MEXICO-CALIFORNIA,Coconuts,637.2165
2000,1,MEXICO-CALIFORNIA,"Lettuce, Green Leaf",424.8895
2000,1,MEXICO-CALIFORNIA,Chinese Cabbage,359.0745
2000,1,MEXICO-CALIFORNIA,Gai Lan,312.2365
2000,1,MEXICO-CALIFORNIA,"Lettuce, Red Leaf",273.5255
2000,1,MEXICO-CALIFORNIA,"Corn, Sweet",254.4935
2000,1,MEXICO-CALIFORNIA,Miscellaneous Asian Vegetables,245.651
2000,1,MEXICO-CALIFORNIA,Honeydews,207.2085
2000,1,MEXICO-CALIFORNIA,"Peas, Snow",193.154
2000,1,MEXICO-CALIFORNIA,"Onions, Dry",184.09
2000,1,MEXICO-CALIFORNIA,Turnips,182.948
2000,1,MEXICO-CALIFORNIA,Bok Choy,153.0535
2000,1,MEXICO-CALIFORNIA,Mixed And Misc Melons,128.695
2000,1,MEXICO-CALIFORNIA,Fruits Other,128.436
2000,1,MEXICO-CALIFORNIA,"Lettuce, Boston",112.5155
2000,1,MEXICO-CALIFORNIA,Raspberries,95.176
2000,1,MEXICO-CALIFORNIA,Anise,92.623
2000,1,MEXICO-CALIFORNIA,Greens,70.4945
2000,1,MEXICO-CALIFORNIA,"Greens, Broccoli Rabe (Rappini)",64.866
2000,1,MEXICO-CALIFORNIA,"Greens, Swiss Chard",60.6775
2000,1,MEXICO-CALIFORNIA,Lemons,57.4125
2000,1,MEXICO-CALIFORNIA,Eggplant,51.4045
2000,1,MEXICO-CALIFORNIA,"Greens, Collard",49.027
2000,1,MEXICO-CALIFORNIA,Basil,44.438
2000,1,MEXICO-CALIFORNIA,Radicchio,44.255
2000,1,MEXICO-CALIFORNIA,Cactus Pears,40.1535
2000,1,MEXICO-CALIFORNIA,"Beans, Lima",33.0575
2000,1,MEXICO-CALIFORNIA,"Greens, Mustard",31.8395
2000,1,MEXICO-CALIFORNIA,"Beans, Fava",27.977
2000,1,MEXICO-CALIFORNIA,Escarole,23.521
2000,1,MEXICO-CALIFORNIA,Daikon,23.3495
2000,1,MEXICO-CALIFORNIA,Dill,23.2125
2000,1,MEXICO-CALIFORNIA,Garlic,22.06
2000,1,MEXICO-CALIFORNIA,"Greens, Turnip Tops",21.018
2000,1,MEXICO-CALIFORNIA,Tamarind,16.28
2000,1,MEXICO-CALIFORNIA,Oregano,13.475
2000,1,MEXICO-CALIFORNIA,Bay Leaves,13.4125
2000,1,MEXICO-CALIFORNIA,Olives,12.76
2000,1,MEXICO-CALIFORNIA,Avocados,12.2955
2000,1,MEXICO-CALIFORNIA,Pumpkins,10.637
2000,1,MEXICO-CALIFORNIA,"Lettuce, Green Oak Leaf",7.9705
2000,1,MEXICO-CALIFORNIA,"Lettuce, Red Oak Leaf",7.1035
2000,1,MEXICO-CALIFORNIA,Arugula,7.036
2000,1,MEXICO-CALIFORNIA,Endive,6.89
2000,1,MEXICO-CALIFORNIA,Sugarcane,4.664
2000,1,MEXICO-CALIFORNIA,"Lettuce, Other",4.127
2000,1,MEXICO-CALIFORNIA,Plantains,2.803
2000,1,MEXICO-CALIFORNIA,"Peas, Other",2.3465
2000,1,MEXICO-CALIFORNIA,Yu Choy,2.276
2000,1,MEXICO-CALIFORNIA,"Peppers, Jalapeno",1.8645
2000,1,MEXICO-CALIFORNIA,"Lettuce, Lolla Rosa",1.4135
2000,1,MEXICO-CALIFORNIA,Bitter Melon,1.3465
2000,1,MEXICO-CALIFORNIA,Okra,1.189
2000,1,MEXICO-CALIFORNIA,"Beans, Green",1.1725
2000,1,MEXICO-CALIFORNIA,Apples,0.001
2000,1,MEXICO-CALIFORNIA,Oranges,0.001
2000,1,MEXICO-TEXAS,ORIGIN TOTAL,380648.0595
2000,1,MEXICO-TEXAS,Watermelons,92814.2315
2000,1,MEXICO-TEXAS,"Onions, Dry",70204.773
2000,1,MEXICO-TEXAS,Limes,44982.847
2000,1,MEXICO-TEXAS,Cantaloupes,31749.342
2000,1,MEXICO-TEXAS,Honeydews,18720.168
2000,1,MEXICO-TEXAS,Mangoes,17389.164
2000,1,MEXICO-TEXAS,Broccoli,14805.823
2000,1,MEXICO-TEXAS,Bananas,13045.714
2000,1,MEXICO-TEXAS,"Peppers, Other",9164.1015
2000,1,MEXICO-TEXAS,Tomatoes,6949.069
2000,1,MEXICO-TEXAS,Avocados,6445.2925
2000,1,MEXICO-TEXAS,Papaya,6401.424
2000,1,MEXICO-TEXAS,Carrots,5630.4105
2000,1,MEXICO-TEXAS,Pineapples,5187.772
2000,1,MEXICO-TEXAS,"Tomatoes, Cherry",5044.8545
2000,1,MEXICO-TEXAS,Tomatillos,3887.778
2000,1,MEXICO-TEXAS,Cilantro,2783.637
2000,1,MEXICO-TEXAS,Cucumbers,2616.334
2000,1,MEXICO-TEXAS,Squash,2571.2915
2000,1,MEXICO-TEXAS,Strawberries,2186.54
2000,1,MEXICO-TEXAS,Jicama,1884.2
2000,1,MEXICO-TEXAS,Tangerines,1832.3075
2000,1,MEXICO-TEXAS,Cactus Leaf (Nopales),1688.889
2000,1,MEXICO-TEXAS,"Lettuce, Iceberg",1625.5435
2000,1,MEXICO-TEXAS,Chayote,1135.3425
2000,1,MEXICO-TEXAS,"Peppers, Bell Type",931.662
2000,1,MEXICO-TEXAS,"Corn, Sweet",880.2515
2000,1,MEXICO-TEXAS,Garlic,832.1905
2000,1,MEXICO-TEXAS,"Peas, Snow",826.032
2000,1,MEXICO-TEXAS,Chinese Cabbage,670.69
2000,1,MEXICO-TEXAS,Turnips,616.1095
2000,1,MEXICO-TEXAS,"Onions, Green",524.077
2000,1,MEXICO-TEXAS,Cabbage,447.4775
2000,1,MEXICO-TEXAS,Spinach,431.2
2000,1,MEXICO-TEXAS,"Beans, Round Green Type",430.7015
2000,1,MEXICO-TEXAS,Oranges,422.819
2000,1,MEXICO-TEXAS,Blackberries,383.216
2000,1,MEXICO-TEXAS,Okra,374.214
2000,1,MEXICO-TEXAS,Oregano,287.239
2000,1,MEXICO-TEXAS,Miscellaneous Herbs,236.695
2000,1,MEXICO-TEXAS,Coconuts,234.16
2000,1,MEXICO-TEXAS,Cauliflower,176.8795
2000,1,MEXICO-TEXAS,Eggplant,161.459
2000,1,MEXICO-TEXAS,Beets,147.917
2000,1,MEXICO-TEXAS,Miscellaneous Asian Vegetables,101.3015
2000,1,MEXICO-TEXAS,Celery,93.2675
2000,1,MEXICO-TEXAS,Mixed And Misc Melons,85.4505
2000,1,MEXICO-TEXAS,Tamarind,60.877
2000,1,MEXICO-TEXAS,Parsley,57.44
2000,1,MEXICO-TEXAS,Radishes,49.684
2000,1,MEXICO-TEXAS,Cactus Pears,45.54
2000,1,MEXICO-TEXAS,"Beans, Fava",38.1615
2000,1,MEXICO-TEXAS,Pumpkins,38.066
2000,1,MEXICO-TEXAS,Chives,35.477
2000,1,MEXICO-TEXAS,Aloe Leaves,34.044
2000,1,MEXICO-TEXAS,Leeks,30.71
2000,1,MEXICO-TEXAS,Asparagus,30.636
2000,1,MEXICO-TEXAS,"Greens, Kale",24.6695
2000,1,MEXICO-TEXAS,Mushrooms,21.824
2000,1,MEXICO-TEXAS,"Tomatoes, Plum Type",21.067
2000,1,MEXICO-TEXAS,"Peas, Green",19.309
2000,1,MEXICO-TEXAS,Bitter Melon,16.5695
2000,1,MEXICO-TEXAS,Beans,14.384
2000,1,MEXICO-TEXAS,"Peas, Other",12.276
2000,1,MEXICO-TEXAS,Long Beans,11.9625
2000,1,MEXICO-TEXAS,Bok Choy,10.57
2000,1,MEXICO-TEXAS,"Greens, Mustard",9.845
2000,1,MEXICO-TEXAS,Opo (Long Squash),7.1535
2000,1,MEXICO-TEXAS,Moqua (Fuzzy Squash),5.155
2000,1,MEXICO-TEXAS,Dry Eschallot,2.653
2000,1,MEXICO-TEXAS,Sinqua (Angled/Ridged Luffa),1.7105
2000,1,MEXICO-TEXAS,"Squash, Zucchini",1.408
2000,1,MEXICO-TEXAS,"Beans, Lima",1.1445
2000,1,MEXICO-TEXAS,Turmeric,1.0405
2000,1,MEXICO-TEXAS,Rosemary,0.825
2000,1,MEXICO-TEXAS,Raspberries,0.7655
2000,1,MEXICO-TEXAS,"Greens, Swiss Chard",0.6445
2000,1,MEXICO-TEXAS,Mint,0.231
2000,1,MEXICO-TEXAS,Dill,0.22
2000,1,MEXICO-TEXAS,Plantains,0.1025
2000,1,MEXICO-TEXAS,Sugarcane,0.035
2000,1,MEXICO-TOTAL,ORIGIN TOTAL,1386112.141
2000,1,MEXICO-TOTAL,Tomatoes,192879.952
2000,1,MEXICO-TOTAL,Watermelons,128499.8435
2000,1,MEXICO-TOTAL,Cucumbers,115584.3405
2000,1,MEXICO-TOTAL,"Peppers, Bell Type",103839.744
2000,1,MEXICO-TOTAL,"Tomatoes, Plum Type",92749.093
2000,1,MEXICO-TOTAL,Squash,84508.2715
2000,1,MEXICO-TOTAL,"Onions, Dry",73331.167
2000,1,MEXICO-TOTAL,Cantaloupes,72672.55
2000,1,MEXICO-TOTAL,Limes,47882.5915
2000,1,MEXICO-TOTAL,"Onions, Green",39786.537
2000,1,MEXICO-TOTAL,"Peppers, Other",37073.733
2000,1,MEXICO-TOTAL,Asparagus,31082.563
2000,1,MEXICO-TOTAL,Honeydews,30830.661
2000,1,MEXICO-TOTAL,"Corn, Sweet",26470.7545
2000,1,MEXICO-TOTAL,Broccoli,23127.0565
2000,1,MEXICO-TOTAL,Eggplant,23124.9385
2000,1,MEXICO-TOTAL,Mangoes,21829.0785
2000,1,MEXICO-TOTAL,"Tomatoes, Cherry",17857.678
2000,1,MEXICO-TOTAL,Papaya,17443.788
2000,1,MEXICO-TOTAL,Celery,16934.751
2000,1,MEXICO-TOTAL,Strawberries,16797.231
2000,1,MEXICO-TOTAL,Bananas,16154.8535
2000,1,MEXICO-TOTAL,Beans,14212.123
2000,1,MEXICO-TOTAL,Miscellaneous Tropical Vegetables,11908.2695
2000,1,MEXICO-TOTAL,Tomatillos,11151.2715
2000,1,MEXICO-TOTAL,Radishes,10553.2595
2000,1,MEXICO-TOTAL,Miscellaneous Asian Vegetables,8037.7895
2000,1,MEXICO-TOTAL,Carrots,7745.863
2000,1,MEXICO-TOTAL,Oranges,6604.5935
2000,1,MEXICO-TOTAL,Avocados,6457.588
2000,1,MEXICO-TOTAL,"Lettuce, Iceberg",6364.541
2000,1,MEXICO-TOTAL,Pineapples,6176.431
2000,1,MEXICO-TOTAL,Cabbage,5738.471
2000,1,MEXICO-TOTAL,Brussels Sprouts,4801.453
2000,1,MEXICO-TOTAL,Jicama,4773.222
2000,1,MEXICO-TOTAL,Cilantro,4344.245
2000,1,MEXICO-TOTAL,"Greens, Kale",3771.631
2000,1,MEXICO-TOTAL,Leeks,3520.58
2000,1,MEXICO-TOTAL,Spinach,3183.971
2000,1,MEXICO-TOTAL,Cactus Leaf (Nopales),3104.804
2000,1,MEXICO-TOTAL,Miscellaneous Herbs,2947.668
2000,1,MEXICO-TOTAL,Parsley,2548.313
2000,1,MEXICO-TOTAL,"Peas, Green",2414.0665
2000,1,MEXICO-TOTAL,Chayote,2306.6755
2000,1,MEXICO-TOTAL,Long Beans,2167.4275
2000,1,MEXICO-TOTAL,Bitter Melon,1913.614
2000,1,MEXICO-TOTAL,Tangerines,1850.6245
2000,1,MEXICO-TOTAL,Vegetables Other,1820.907
2000,1,MEXICO-TOTAL,Beets,1520.7435
2000,1,MEXICO-TOTAL,"Peas, Snow",1161.8035
2000,1,MEXICO-TOTAL,Chinese Cabbage,1031.64
2000,1,MEXICO-TOTAL,Cauliflower,973.7175
2000,1,MEXICO-TOTAL,Garlic,874.2515
2000,1,MEXICO-TOTAL,Coconuts,871.3765
2000,1,MEXICO-TOTAL,Artichokes,839.255
