"year","state","state_ansi","price_overall","price_fresh","price_processing","production_dollars_total","production_cwt_total","production_dollars_fresh","production_dollars_processing","production_cwt_utilized","production_cwt_processing","production_cwt_fresh","production_cwt_fresh_inferred","production_cwt_processing_inferred","production_cwt_total_inferred"
2006,"PENNSYLVANIA","42",167,167,NA,11356000,68000,11356000,NA,NA,NA,68000,68000,NA,68000
2006,"WASHINGTON","53",60.4,91.5,55.6,7728000,128000,1556000,6172000,NA,111000,17000,17005.4644808743,111007.194244604,127947.01986755
2006,"WISCONSIN","55",134,134,NA,6298000,47000,6298000,NA,NA,NA,47000,47000,NA,47000
2007,"CALIFORNIA","06",65.5,64.2,25.5,1410652000,21540000,1298936000,111716000,NA,4381000,17159000,20232647.9750779,4381019.60784314,21536671.7557252
2007,"FLORIDA","12",124,88.7,NA,261888000,2112000,261888000,NA,NA,NA,2112000,2952514.09244645,NA,2112000
2007,"MICHIGAN","26",117,120,54,5028000,43000,4920000,108000,NA,2000,41000,41000,2000,42974.358974359
2007,"NEW YORK","36",165,165,NA,7590000,46000,7590000,NA,NA,NA,46000,46000,NA,46000
2007,"NORTH CAROLINA","37",95,95,NA,17955000,189000,17955000,NA,NA,NA,189000,189000,NA,189000
2007,"OHIO","39",154,154,NA,5852000,38000,5852000,NA,NA,NA,38000,38000,NA,38000
2007,"OREGON","41",66.3,134,58,16378000,247000,3618000,12760000,NA,220000,27000,27000,220000,247028.657616893
2007,"PENNSYLVANIA","42",187,187,NA,10472000,56000,10472000,NA,NA,NA,56000,56000,NA,56000
2007,"WASHINGTON","53",65.4,146,53.7,8765000,134000,2482000,6283000,NA,117000,17000,17000,117001.862197393,134021.406727829
2007,"WISCONSIN","55",136,136,NA,6528000,48000,6528000,NA,NA,NA,48000,48000,NA,48000
2008,"CALIFORNIA","06",69.6,65.5,34.4,1578175000,22675000,1438167000,140008000,NA,4070000,22675000,21956748.0916031,4070000,22674928.1609195
2008,"FLORIDA","12",139,203,NA,249366000,1794000,249366000,NA,NA,NA,1794000,1228403.9408867,NA,1794000
2008,"MICHIGAN","26",119,122,56,5846000,49000,5734000,112000,NA,2000,47000,47000,2000,49126.0504201681
2008,"NEW YORK","36",165,165,NA,7425000,45000,7425000,NA,NA,NA,45000,45000,NA,45000
2008,"NORTH CAROLINA","37",100,100,NA,20800000,208000,20800000,NA,NA,NA,208000,208000,NA,208000
2008,"OHIO","39",174,174,NA,7308000,42000,7308000,NA,NA,NA,42000,42000,NA,42000
2008,"OREGON","41",70.5,172,58,16768000,238000,4472000,12296000,NA,212000,238000,26000,212000,237843.971631206
2008,"PENNSYLVANIA","42",211,211,NA,15403000,73000,15403000,NA,NA,NA,73000,73000,NA,73000
2008,"WASHINGTON","53",70.1,172,51.7,10092000,144000,3784000,6308000,NA,122000,22000,22000,122011.605415861,143965.763195435
2008,"WISCONSIN","55",145,145,NA,7105000,49000,7105000,NA,NA,NA,49000,49000,NA,49000
2009,"CALIFORNIA","06",69.4,78.9,29.5,1725232000,24856000,1583160000,142072000,NA,4816000,24856000,20065399.2395437,4816000,24859250.7204611
2009,"FLORIDA","12",132,203.1,NA,313632000,2376000,313632000,NA,NA,NA,2376000,1544224.51994092,NA,2376000
2009,"MICHIGAN","26",144,150,55,6615000,46000,6450000,165000,NA,3000,43000,43000,3000,45937.5
2009,"NEW YORK","36",205,205,NA,9020000,44000,9020000,NA,NA,NA,44000,44000,NA,44000
2009,"NORTH CAROLINA","37",135,135,NA,26325000,195000,26325000,NA,NA,NA,195000,195000,NA,195000
2009,"OHIO","39",191,191,NA,5730000,30000,5730000,NA,NA,NA,30000,30000,NA,30000
2009,"OREGON","41",65.8,140,54,13888000,211000,4060000,9828000,NA,182000,211000,29000,182000,211063.829787234
2009,"PENNSYLVANIA","42",208,208,NA,13520000,65000,13520000,NA,NA,NA,65000,65000,NA,65000
2009,"WASHINGTON","53",58.3,158,50,8338000,143000,1738000,6600000,NA,132000,11000,11000,132000,143018.867924528
2009,"WISCONSIN","55",155,155,NA,7285000,47000,7285000,NA,NA,NA,47000,47000,NA,47000
2010,"CALIFORNIA","06",70.1,66.9,27.8,1813557000,25859000,1674335000,139222000,NA,5008000,23063000,25027428.9985052,5007985.61151079,25870998.5734665
2010,"FLORIDA","12",187,NA,NA,362032000,1936000,362032000,NA,NA,NA,1440000,NA,NA,1936000
2010,"MICHIGAN","26",141,147,60,4089000,29000,3969000,120000,NA,2000,27000,27000,2000,29000
2010,"NEW YORK","36",197,197,NA,6895000,35000,6895000,NA,NA,NA,35000,35000,NA,35000
2010,"NORTH CAROLINA","37",135,135,NA,22680000,168000,22680000,NA,NA,NA,168000,168000,NA,168000
2010,"OHIO","39",272,272,NA,9520000,35000,9520000,NA,NA,NA,35000,35000,NA,35000
2010,"OREGON","41",69,166,51,16291000,236000,6142000,10149000,NA,199000,204000,37000,199000,236101.449275362
2010,"PENNSYLVANIA","42",207,207,NA,11592000,56000,11592000,NA,NA,NA,56000,56000,NA,56000
2010,"WASHINGTON","53",61.1,189,50,7640000,125000,1890000,5750000,NA,115000,10000,10000,115000,125040.916530278
2010,"WISCONSIN","55",157,157,NA,6437000,41000,6437000,NA,NA,NA,41000,41000,NA,41000
2011,"CALIFORNIA","06",75.2,93.5,33.8,1943757000,25846000,1761778000,181979000,NA,5384000,20462000,18842545.4545455,5383994.08284024,25847832.4468085
2011,"FLORIDA","12",148,NA,NA,366300000,2475000,366300000,NA,NA,NA,2475000,NA,NA,2475000
2011,"MICHIGAN","26",146,152,57,4522000,31000,4408000,114000,NA,2000,29000,29000,2000,30972.602739726
2011,"NEW YORK","36",235,235,NA,8460000,36000,8460000,NA,NA,NA,36000,36000,NA,36000
2011,"NORTH CAROLINA","37",140,140,NA,23660000,169000,23660000,NA,NA,NA,169000,169000,NA,169000
2011,"OHIO","39",210,210,NA,5460000,26000,5460000,NA,NA,NA,26000,26000,NA,26000
2011,"OREGON","41",66.5,148,55,15034000,226000,4144000,10890000,NA,198000,28000,28000,198000,226075.187969925
2011,"OTHER STATES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"PENNSYLVANIA","42",212,212,NA,8480000,40000,8480000,NA,NA,NA,40000,40000,NA,40000
2011,"WASHINGTON","53",71.8,231,46.7,8971000,125000,3927000,5044000,NA,108000,17000,17000,108008.565310493,124944.289693593
2011,"WISCONSIN","55",161,161,NA,6762000,42000,6762000,NA,NA,NA,42000,42000,NA,42000
